category_slug,title,video_id,vimeo_link,thumbnail_url
hiit-class-archives,Hiit Class | with Susie Q | 8/29/20,452849428,https://vimeo.com/452849428/e3cc2f8db5,https://i.vimeocdn.com/video/948675206-c0d28c2079ab1f2f2925b33c798228c3af6728560ada1c1e6ceb760321ed1959-d_295x166?region=us
stretch-recovery,Stretch & Recovery | with Alberto | 8/28/20,452554265,https://vimeo.com/452554265/729cbbb749,https://i.vimeocdn.com/video/948149499-8ec681b8ed2af51a3c70eea6c66ec88f55e8de85e1923312e7127dc16aff295c-d_295x166?region=us
hiit-class-archives,Hiit Class | Upper Body | with GiGi | 8/28/20,452553431,https://vimeo.com/452553431/fb2cd1a8e5,https://i.vimeocdn.com/video/948150420-0f3f69f2843fa70179a96c2eb751733cf9a4c1e7bb06a1d2253ba995d37c6c8f-d_295x166?region=us
kids,Kids Hiit Funhouse | Double Trouble | with Coach Tammy,452045403,https://vimeo.com/452045403/cb9c8fe4d4,https://i.vimeocdn.com/video/947308012-317d6294f28f9378b997472f11e1a9e00fc28c9db2f88d3a7397a9f5e9e73c51-d_295x166?region=us
hiit-kickboxing,Hiit Kickboxing | Advanced | with Trisha | 8/27/20,452037893,https://vimeo.com/452037893/6011287a45,https://i.vimeocdn.com/video/947306522-82596ea33fd879c889bf221cd351e63ae2274fe36bdc4d2158bccc9ba8b61cc7-d_295x166?region=us
hiit-class-archives,Hiit Class | Lower Body | with Susie Q | 8/27/20,452037346,https://vimeo.com/452037346/745476d7d7,https://i.vimeocdn.com/video/947293569-85eb9c78e3ce0e2b8437c5e660da2728dbca1987f151129c58170f49363d9f5e-d_295x166?region=us
stretch-recovery,Hiit Stretch | with Alberto | 8/26/20,451918027,https://vimeo.com/451918027/1328471701,https://i.vimeocdn.com/video/947094717-aade8c70e7a816c91e93c0215208ecd7dd46a5f6b29bdc92811101d5c5bb864c-d_295x166?region=us
hiit-21,Hiit 21 | Massive Calorie Blast | with Pam | 8/26/20,451857335,https://vimeo.com/451857335/1a6e402637,https://i.vimeocdn.com/video/947000384-33365cd33bcbadbec3832e277a9e49a7c2b1e036973c6fd1b036b4f204838cb3-d_295x166?region=us
kids,Kids Hiit Funhouse | CUTENESS OVERLOAD | with Coach Tammy,451517392,https://vimeo.com/451517392/7f0fc98003,https://i.vimeocdn.com/video/946995127-5b2540b59cf8b484b83a01cc2279f358d75046026bc38d17f537166a81ac3834-d_295x166?region=us
hiit-kickboxing,Hiit Kickboxing | Beginner/Intermediate | with Trisha | 8/25/20,451473688,https://vimeo.com/451473688/d016f30b09,https://i.vimeocdn.com/video/946365574-9289a2fbccf6b1feddb12ee82aad96f256253f52a63fb5a51214018f7bd02d38-d_295x166?region=us
hiit-class-archives,Hiit Class | Upper Body | with Susie Q | 8/25/20,451472332,https://vimeo.com/451472332/701fe27a4c,https://i.vimeocdn.com/video/946363530-d57227e9756cb9c542375e063c90a034e15468f8a0703c673e5c007ea27da1d9-d_295x166?region=us
heavy-hiit,"Heavy Hiit | Back - Biceps - Core | with Renato ""The Brazilian Hercules"" | 8/24/20",451171425,https://vimeo.com/451171425/2a732e26bf,https://i.vimeocdn.com/video/945853776-fe3149567b29ecd0d4b64d5d583e23ad109f7d58ac6640ef587cd7deb9158d70-d_295x166?region=us
hiit-class-archives,Hiit Class | Lower Body | with GiGi | 8/24/20,451165033,https://vimeo.com/451165033/72bd87672e,https://i.vimeocdn.com/video/945843845-19b743a53163369e26aa35595ef4e1f1e2ce4d33374402c63170dd88dacf8d0a-d_295x166?region=us
hiit-21,Hiit 21 | EPIC TOTAL BODY BLAST MASH-UP | with Pam,450686979,https://vimeo.com/450686979/64f4dfac2e,https://i.vimeocdn.com/video/945195406-d2b5245d18bfe4b99934f589e74bab87a29aa4fd4e29d50c91356b73fdbd0266-d_295x166?region=us
hiit-class-archives,Hiit Class | CRAZY HAIR SATURDAY | Total Body | with Susie Q,450496967,https://vimeo.com/450496967/6400620f22,https://i.vimeocdn.com/video/944748863-a53b17e77cc43d5aea6f3d629650dfecfef12e6e411904b20dfa6756ab85ace3-d_295x166?region=us
stretch-recovery,Stretch & Recovery | with Alberto | 8/21/20,450097136,https://vimeo.com/450097136/86d82de45d,https://i.vimeocdn.com/video/944108317-6c9106cea0b71f99681903ec15528c81aed76bcd2ac33f0f5d0a389ecf12e146-d_295x166?region=us
hiit-class-archives,Hiit Class | Upper Body | with GiGi | 8/21/20,450095349,https://vimeo.com/450095349/7cea226b08,https://i.vimeocdn.com/video/944105565-7e4b1fd2f4fb1871350191cd17493e2f9673a12a41805f66a3fd43baf598b229-d_295x166?region=us
kids,Kids Hiit Funhouse | Pump Up the End of Summer | with Coach Tammy,449854091,https://vimeo.com/449854091/7f147dfe2a,https://i.vimeocdn.com/video/943728481-c9d5b5ed3c2e06d0a36ccb9062fdca4d09d89c19c551c75c8fe1039fcf9c0fe3-d_295x166?region=us
kids,Kids Hiit Funhouse | Pump Up the End of Summer | with Coach Tammy,449688007,https://vimeo.com/449688007/5d2918c38c,https://i.vimeocdn.com/video/943448564-af22651061f6424fabc22145d5a6ec7b44bd5d59968f8c70310323d2993b12d9-d_295x166?region=us
heavy-hiit,"Heavy Hiit | with Renato ""The Brazilian Hercules"" | 8/20/20",449686698,https://vimeo.com/449686698/0883c3fd2f,https://i.vimeocdn.com/video/943446535-6a22a434a3dc021ec9924a340e5372d806889951a3845dbe85978a98b76dab5d-d_295x166?region=us
