title,video_id,vimeo_link,category,final_category,final_category_slug,was_overridden,was_folded_archives
Hiit 56 | Upper Body | with Susie Q | 10/6/20,465358628,https://vimeo.com/465358628/eff60ebcaf,HIIT Upper Body,HIIT Upper Body,hiit-upper-body,False,False
Stretch & Recovery | with Alberto | 10/2/20,465189246,https://vimeo.com/465189246/7d2b545129,Stretch & Recovery,Stretch & Recovery,stretch-recovery,False,False
"Heavy Hiit | with Renato ""The Brazilian Hercules"" | 10/5/20",465156802,https://vimeo.com/465156802/973f008c79,Heavy HIIT,Heavy HIIT,heavy-hiit,False,False
"Heavy Hiit | with Renato ""The Brazilian Hercules"" | 10/5/20",465017367,https://vimeo.com/465017367/5a5f0c23a3,Heavy HIIT,Heavy HIIT,heavy-hiit,False,False
Hiit 56 | Lower Body | with Gi Gi | 10/5/20,465015431,https://vimeo.com/465015431/f9b2c3ff4a,HIIT Lower Body,HIIT Lower Body,hiit-lower-body,False,False
Hiit 56 | Total Body | with Susie Q | 10/3/20,464526647,https://vimeo.com/464526647/24087ecb76,HIIT Total Body,HIIT Total Body,hiit-total-body,False,False
Hiit 56 | Upper Body | with GiGi | 10/2/20,464229574,https://vimeo.com/464229574/a59f03b93b,HIIT Upper Body,HIIT Upper Body,hiit-upper-body,False,False
Kids Hiit Funhouse | with Coach Tammy,463994250,https://vimeo.com/463994250,Kids HIIT Funhouse,Kids HIIT Funhouse,kids-hiit-funhouse,False,False
"Heavy Hiit | with Renato ""The Brazilian Hercules"" | 10/1/20",463987063,https://vimeo.com/463987063,Heavy HIIT,Heavy HIIT,heavy-hiit,False,False
Kids Hiit Funhouse | with Coach Tammy,463944162,https://vimeo.com/463944162/c805adaf25,Kids HIIT Funhouse,Kids HIIT Funhouse,kids-hiit-funhouse,False,False
"Heavy Hiit | with Renato ""The Brazilian Hercules"" | 10/1/20",463943203,https://vimeo.com/463943203/1df6248e2f,Heavy HIIT,Heavy HIIT,heavy-hiit,False,False
Hiit 56 | Lower Body | with Susie Q | 10/1/20,463914356,https://vimeo.com/463914356/58bb566af6,HIIT Lower Body,HIIT Lower Body,hiit-lower-body,False,False
Hiit 56 | Lower Body | with Susie Q | 10/1/20,463844134,https://vimeo.com/463844134/41501f415d,HIIT Lower Body,HIIT Lower Body,hiit-lower-body,False,False
Hiit Mobility | with Alberto | 9/30/20,463544850,https://vimeo.com/463544850,HIIT Beginner,HIIT Beginner,hiit-beginner,False,False
Hiit 21 | Massive Calorie Blast | with Pam | 9/30/20,463509188,https://vimeo.com/463509188,HIIT 21,HIIT 21,hiit-21,False,False
Hiit Mobility | with Alberto | 9/30/20,463400452,https://vimeo.com/463400452/9c9f537d11,HIIT Beginner,HIIT Beginner,hiit-beginner,False,False
Hiit 21 | Massive Calorie Blast | with Pam | 9/30/20,463399423,https://vimeo.com/463399423/85ed945d55,HIIT 21,HIIT 21,hiit-21,False,False
Kids Hiit Funhouse | Tennis Tuesday | with Coach Tammy,463166223,https://vimeo.com/463166223/b1fd06a1c4,Kids HIIT Funhouse,Kids HIIT Funhouse,kids-hiit-funhouse,False,False
Hiit 56 | Upper Body | with Susie Q | 9/29/20,463056441,https://vimeo.com/463056441/945d8f8b4d,HIIT Upper Body,HIIT Upper Body,hiit-upper-body,False,False
